,CH1(Unit:V),CH2(Unit:V)
Frequency:,?,?
Period:,?,?
PK-PK:,15.4V,3.26V
421,5.600,0.080
422,5.600,0.080
423,5.120,0.080
424,5.120,0.080
425,4.720,0.080
426,4.720,0.080
427,4.240,0.100
428,4.240,0.100
429,3.760,0.080
430,3.760,0.080
431,3.360,0.080
432,3.360,0.080
433,2.880,0.060
434,2.880,0.060
435,2.400,0.080
436,2.400,0.080
437,1.920,0.080
438,1.920,0.080
439,1.520,0.080
440,1.520,0.080
441,0.960,0.060
442,0.960,0.060
443,0.640,0.080
444,0.640,0.080
445,0.240,0.080
446,0.240,0.080
447,0.000,0.060
448,0.000,0.060
449,-0.240,0.080
450,-0.240,0.080
451,-0.240,0.060
452,-0.240,0.060
453,-0.240,0.080
454,-0.240,0.080
455,-0.160,0.080
456,-0.160,0.080
457,-0.160,0.080
458,-0.160,0.080
459,-0.160,0.080
460,-0.160,0.080
461,-0.160,0.080
462,-0.160,0.080
463,-0.160,0.080
464,-0.160,0.080
465,-0.160,0.080
466,-0.160,0.080
467,-0.080,0.080
468,-0.080,0.080
469,-0.080,0.080
470,-0.080,0.080
471,-0.080,0.080
472,-0.080,0.080
473,0.000,0.060
474,0.000,0.060
475,0.000,0.080
476,0.000,0.080
477,0.000,0.080
478,0.000,0.080
479,0.000,0.100
480,0.000,0.100
481,0.000,0.060
482,0.000,0.060
483,0.000,0.080
484,0.000,0.080
485,0.000,0.080
486,0.000,0.080
487,0.000,0.060
488,0.000,0.060
489,0.000,0.060
490,0.000,0.060
491,0.000,0.060
492,0.000,0.060
493,0.000,0.080
494,0.000,0.080
495,0.000,0.080
496,0.000,0.080
497,0.000,0.080
498,0.000,0.080
499,0.000,0.080
500,0.000,0.080
501,0.000,0.080
502,0.000,0.080
503,0.000,0.080
504,0.000,0.080
505,0.000,0.080
506,0.000,0.080
507,0.000,0.060
508,0.000,0.060
509,0.000,0.060
510,0.000,0.060
511,0.000,0.080
512,0.000,0.080
513,0.000,0.060
514,0.000,0.060
515,0.000,0.060
516,0.000,0.060
517,0.000,0.060
518,0.000,0.060
519,0.000,0.060
520,0.000,0.060
521,0.000,0.060
522,0.000,0.060
523,0.000,0.060
524,0.000,0.060
525,0.000,0.080
526,0.000,0.080
527,0.000,0.060
528,0.000,0.060
529,0.080,0.080
530,0.080,0.080
531,0.000,0.060
532,0.000,0.060
533,0.080,0.100
534,0.080,0.100
535,0.080,0.060
536,0.080,0.060
537,0.000,0.080
538,0.000,0.080
539,0.080,0.080
540,0.080,0.080
541,0.080,0.080
542,0.080,0.080
543,0.080,0.080
544,0.080,0.080
545,0.080,0.060
546,0.080,0.060
547,0.080,0.080
548,0.080,0.080
549,0.080,0.060
550,0.080,0.060
551,0.080,0.080
552,0.080,0.080
553,0.080,0.060
554,0.080,0.060
555,0.080,0.060
556,0.080,0.060
557,0.080,0.060
558,0.080,0.060
559,0.160,0.080
560,0.160,0.080
561,0.080,0.080
562,0.080,0.080
563,0.000,0.080
564,0.000,0.080
565,0.080,0.080
566,0.080,0.080
567,0.080,0.080
568,0.080,0.080
569,0.080,0.060
570,0.080,0.060
571,0.080,0.060
572,0.080,0.060
573,0.080,0.080
574,0.080,0.080
575,0.080,0.060
576,0.080,0.060
577,0.080,0.060
578,0.080,0.060
579,0.080,0.080
580,0.080,0.080
581,0.080,0.060
582,0.080,0.060
583,0.080,0.080
584,0.080,0.080
585,0.080,0.100
586,0.080,0.100
587,0.080,0.080
588,0.080,0.080
589,0.080,0.060
590,0.080,0.060
591,0.080,0.080
592,0.080,0.080
593,0.080,0.060
594,0.080,0.060
595,0.080,0.060
596,0.080,0.060
597,0.080,0.060
598,0.080,0.060
599,0.080,0.060
600,0.080,0.060
